DATABASE NAME 	DESCRIPTION	FIELD SIZE	DATA TYPE	DATA CODES	
AMOTSCO	Number of motorcycle/scooter policies	1	Numérica continua	0, 1, 2, 8	
AVRAAUT	Number of lorry policies	1	Numérica continua	0, 1, 2, 3	
AAANHANG	Number of trailer policies	1	Numérica continua	0, 1, 2, 3	
ATRACTOR	Number of tractor policies	1	Numérica continua	0, 1, 2, 3, 4	
AWERKT	Number of agricultural machines policies	1	Numérica continua	0, 1, 2, 3, 6	
ABROM	Number of moped policies	1	Categórica	0, 1, 2	
ALEVEN	Number of life insurances	1	Categórica	0, 1, 2, 3, 4, 8	
APERSONG	Number of private accident insurance policies	1	Categórica	0, 1	
AGEZONG	Number of family accidents insurance policies	1	Categórica	0, 1	
AWAOREG	Number of disability insurance policies	1	Categórica	0, 1, 2	
ABRAND	Number of fire policies	1	Categórica	0, 1, 2, 3, 4, 5, 7	
AZEILPL	Number of surfboard policies	1	Numérica continua	0, 1	
APLEZIER	Number of boat policies	1	Numérica continua	0, 1, 2	
AFIETS	Number of bicycle policies	1	Numérica continua	0, 1, 2, 3	
AINBOED	Number of property insurance policies	1	Numérica continua	0, 1, 2	
ABYSTAND	Number of social security insurance policies	1	Numérica continua	0, 1, 2	
CARAVAN	Number of mobile home policies 	1	Categórica	0,1 	
